food,portion_g,carbs_g,protein_g,fat_g,fiber_g,sugar_g,gi,gl_per_portion,source
White rice (boiled),150,40,4,0.5,1,0.1,73,29.2,USDA + GI DB
Brown rice,150,38,4,1.5,2,0.5,68,25.8,USDA + GI DB
Basmati rice,150,39,4,0.5,1,0.1,58,22.6,GI DB
Chapati (whole wheat),60,20,5,1.5,3,0.5,62,12.4,IFCT
Paratha (plain),80,25,4,7.0,2,1.0,59,14.8,Approx IFCT
Idli (2 pcs),100,28,6,1.0,2,1.0,60,16.8,Sydney GI DB
Dosa (plain),120,30,4,2.0,2,1.0,65,19.5,Sydney GI DB
Poha,150,35,5,4.0,3,1.0,69,24.2,Approx (flattened rice)
Upma,150,32,6,6.0,3,1.0,68,21.8,Approx
Biryani,250,60,12,12.0,4,2.0,70,42.0,Approx Indian cuisine
Khichdi,200,45,10,6.0,5,2.0,55,24.8,Approx
Dal (lentil curry),200,30,12,6.0,6,1.0,32,9.6,IFCT
Rajma curry,200,35,14,7.0,7,2.0,28,9.8,IFCT
Chole (chickpea curry),200,34,12,8.0,8,2.0,36,12.2,IFCT
Sambar,150,18,7,3.0,4,1.0,38,6.8,IFCT
Samosa (1 pc),100,25,5,12.0,3,1.0,48,12.0,IFCT
Pakora (bhajiya),80,20,6,10.0,3,1.0,46,9.2,IFCT
Pav Bhaji,250,50,8,12.0,6,4.0,61,30.5,Approx Indian cuisine
Vada Pav,180,45,7,10.0,4,2.0,60,27.0,Approx Indian cuisine
Gulab Jamun (2 pcs),100,45,4,12.0,1,25.0,76,34.2,IFCT
Rasgulla (2 pcs),100,35,6,5.0,0,20.0,63,22.0,IFCT
Jalebi (50g),50,40,2,5.0,0,25.0,82,32.8,IFCT
"Laddoo (besan, 50g)",50,28,6,8.0,2,15.0,60,16.8,IFCT
Kheer (rice pudding),150,35,7,8.0,0,20.0,65,22.8,Approx Indian cuisine
Chai (with sugar & milk),200,12,4,4.0,0,10.0,58,7.0,Approx
Lassi (sweet),250,28,9,8.0,0,20.0,65,18.2,IFCT
